
1639855680000,46545.70000000,46545.70000000,46471.71000000,46504.55000000,18.90389000,1639855739999,879141.26580380,665,6.99409000,325258.32200430,0
1639855740000,46504.55000000,46531.75000000,46488.30000000,46519.00000000,23.51747000,1639855799999,1093867.96322130,568,15.19789000,706963.02704570,0
1639855800000,46518.99000000,46526.18000000,46484.50000000,46523.98000000,10.86553000,1639855859999,505263.97315470,624,4.77101000,221862.34923080,0
1639855860000,46523.99000000,46528.52000000,46471.85000000,46471.85000000,12.10210000,1639855919999,562833.75243850,554,4.57229000,212649.75740660,0
1639855920000,46471.85000000,46500.30000000,46466.52000000,46474.08000000,13.81163000,1639855979999,641971.61116680,469,4.69131000,218056.67700220,0
1639855980000,46470.05000000,46515.89000000,46464.29000000,46513.32000000,27.10551000,1639856039999,1260026.38362790,580,12.37776000,575402.05633660,0
1639856040000,46513.33000000,46528.61000000,46471.94000000,46501.17000000,21.41820000,1639856099999,996028.77386240,577,9.91119000,460989.29635710,0
1639856100000,46501.18000000,46549.84000000,46484.40000000,46535.08000000,10.97560000,1639856159999,510595.97512620,462,6.53702000,304122.19180040,0
1639856160000,46535.08000000,46560.00000000,46535.08000000,46557.69000000,8.14034000,1639856219999,378942.37000060,368,3.75334000,174714.24730950,0
1639856220000,46557.70000000,46591.42000000,46557.69000000,46583.03000000,12.02778000,1639856279999,560244.04750790,435,7.46380000,347639.39322060,0
1639856280000,46583.03000000,46586.17000000,46540.00000000,46559.00000000,9.85874000,1639856339999,459054.51241970,410,3.96689000,184700.58510390,0
1639856340000,46559.00000000,46567.29000000,46527.48000000,46560.29000000,19.68002000,1639856399999,916119.78342180,498,11.53053000,536766.07545920,0
1639856400000,46563.90000000,46567.29000000,46522.61000000,46565.53000000,11.73290000,1639856459999,546103.01778150,418,3.07103000,142946.20198010,0
1639856460000,46565.52000000,46565.53000000,46532.64000000,46538.45000000,13.48699000,1639856519999,627832.03394060,450,6.70959000,312346.67932720,0
1639856520000,46538.45000000,46583.00000000,46532.65000000,46571.90000000,13.36264000,1639856579999,622033.57331390,451,7.99332000,372081.24542080,0
1639856580000,46571.89000000,46583.02000000,46571.89000000,46583.02000000,6.19968000,1639856639999,288758.14815240,354,2.86989000,133666.77845980,0
1639856640000,46583.01000000,46583.71000000,46557.66000000,46566.99000000,7.09229000,1639856699999,330305.12246480,310,2.29194000,106738.23851500,0
1639856700000,46566.99000000,46684.63000000,46563.70000000,46659.29000000,14.32456000,1639856759999,667923.57942630,707,9.62038000,448534.53273050,0
1639856760000,46661.78000000,46678.67000000,46640.71000000,46670.99000000,9.89666000,1639856819999,461817.51204230,448,4.20588000,196258.64090410,0
1639856820000,46671.00000000,46725.00000000,46660.80000000,46693.11000000,26.51024000,1639856879999,1237718.69931490,777,14.85533000,693527.54672920,0
1639856880000,46693.11000000,46700.43000000,46660.43000000,46660.48000000,11.93028000,1639856939999,556946.67655110,473,4.35200000,203171.24881280,0
1639856940000,46660.47000000,46667.99000000,46625.51000000,46650.00000000,14.00613000,1639856999999,653420.08061700,404,5.97013000,278467.71681460,0
1639857000000,46650.00000000,46694.14000000,46649.99000000,46690.25000000,11.98559000,1639857059999,559427.24040660,424,7.59533000,354502.00899500,0
1639857060000,46690.25000000,46700.72000000,46681.39000000,46681.40000000,7.49632000,1639857119999,350036.28923430,421,3.52101000,164409.65525240,0
1639857120000,46681.40000000,46686.93000000,46627.66000000,46669.29000000,12.13928000,1639857179999,566288.23786180,529,6.85845000,319946.22763140,0
1639857180000,46671.03000000,46699.00000000,46650.31000000,46672.55000000,13.03813000,1639857239999,608567.99596840,452,7.01604000,327454.63096090,0
1639857240000,46672.55000000,46679.17000000,46641.00000000,46677.88000000,8.02159000,1639857299999,374333.41400360,378,2.80732000,131001.40482860,0
1639857300000,46677.88000000,46679.01000000,46670.29000000,46673.00000000,3.76134000,1639857359999,175557.79353030,316,1.59556000,74468.45762030,0
1639857360000,46673.00000000,46673.01000000,46629.77000000,46636.32000000,7.77451000,1639857419999,362736.00333520,385,1.71545000,80035.99655430,0
1639857420000,46630.19000000,46654.64000000,46613.69000000,46626.39000000,9.03314000,1639857479999,421247.40731390,438,5.84235000,272441.56513320,0
1639857480000,46626.39000000,46636.83000000,46613.95000000,46621.20000000,6.72101000,1639857539999,313395.02507440,346,3.44258000,160521.86608820,0
1639857540000,46621.21000000,46649.17000000,46614.75000000,46643.68000000,6.33560000,1639857599999,295478.92646290,325,2.80156000,130672.90479710,0
1639857600000,46643.68000000,46669.87000000,46643.68000000,46668.71000000,6.58220000,1639857659999,307106.21692280,355,3.32796000,155271.92333660,0
1639857660000,46668.71000000,46677.23000000,46668.70000000,46676.88000000,9.71608000,1639857719999,453460.10321130,482,6.50927000,303792.51121620,0
